Tue Dec  1 14:03:16 2020    prof/combined.prof

         6666021 function calls (6641966 primitive calls) in 14.234 seconds

   Ordered by: cumulative time
   List reduced from 1457 to 224 due to restriction <'^test_.*(\\(test_)'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.137    0.137 test_categories_id_projects_id.py:124(test_delete_category_project)
        1    0.000    0.000    0.077    0.077 test_todos.py:45(test_get_non_empty_response_todos)
        1    0.000    0.000    0.063    0.063 test_projects_id_tasks_id.py:108(test_delete_project_id_tasks_id_allowed)
        1    0.000    0.000    0.060    0.060 test_todos_id_tasksof_id.py:122(test_delete_todo_project)
        1    0.000    0.000    0.059    0.059 test_todos_id_categories_id.py:116(test_delete_todo_category)
        1    0.000    0.000    0.052    0.052 test_projects_id_categories_id.py:102(test_delete_project_id_categories_id_allowed)
        1    0.000    0.000    0.045    0.045 test_todos_id_categories.py:120(test_post_todos_categories)
        1    0.000    0.000    0.044    0.044 test_todos_id_categories_id.py:168(test_delete_todo_category_relationship_does_not_exist)
        1    0.000    0.000    0.044    0.044 test_todos_id_tasksof.py:127(test_post_todos_projects)
        1    0.000    0.000    0.044    0.044 test_todos_id_categories_id.py:215(test_delete_todo_category_todo_does_not_exist)
        1    0.000    0.000    0.041    0.041 test_projects_id_categories_id.py:238(test_delete_project_id_categories_id_no_relationship)
        1    0.000    0.000    0.041    0.041 test_projects_id_categories.py:228(test_project_id_category_put_not_allowed)
        1    0.000    0.000    0.040    0.040 test_projects_id_tasks.py:142(test_post_project_id_tasks)
        1    0.000    0.000    0.039    0.039 test_projects_id_categories.py:110(test_post_project_categories_valid)
        1    0.000    0.000    0.039    0.039 test_todos_id_tasksof_id.py:229(test_delete_todo_project_todo_does_not_exist)
        1    0.000    0.000    0.038    0.038 test_todos.py:86(test_get_non_empty_response_xml_todos)
        1    0.000    0.000    0.038    0.038 test_projects_id_categories.py:292(test_project_id_category_options_OK)
        1    0.000    0.000    0.037    0.037 test_projects_id.py:234(test_project_invalid_id_post)
        1    0.000    0.000    0.037    0.037 test_categories_id_projects_id.py:231(test_delete_category_project_category_does_not_exist)
        1    0.000    0.000    0.037    0.037 test_projects_id_categories_id.py:149(test_delete_project_id_categories_id_invalid_project)
        1    0.000    0.000    0.037    0.037 test_projects.py:41(test_get_non_empty_response_projects)
        1    0.000    0.000    0.036    0.036 test_categories.py:189(test_post_category_valid_body_with_project_relation)
        1    0.000    0.000    0.036    0.036 test_todos.py:148(test_post_todo_valid_body_with_project_relationship)
        1    0.000    0.000    0.035    0.035 test_categories_id_todos_id.py:195(test_delete_category_id_todos_id_invalid_todo)
        1    0.000    0.000    0.033    0.033 test_categories_id_todos_id.py:109(test_delete_category_id_todos_id_allowed)
        1    0.000    0.000    0.033    0.033 test_projects_id_categories.py:157(test_post_invalid_project_with_categories)
        1    0.000    0.000    0.032    0.032 test_categories_id_projects.py:130(test_post_categories_projects)
        1    0.000    0.000    0.032    0.032 test_projects_id_tasks_id.py:157(test_delete_project_id_tasks_id_invalid_project)
        1    0.000    0.000    0.032    0.032 test_todos_id_categories_id.py:17(test_get_todo_category_not_allowed)
        1    0.000    0.000    0.032    0.032 test_todos.py:192(test_post_todo_valid_body_with_category_relationship)
        1    0.000    0.000    0.031    0.031 test_projects_id_categories_id.py:190(test_delete_project_id_categories_id_invalid_category)
        1    0.000    0.000    0.031    0.031 test_projects_id_tasks_id.py:199(test_delete_project_id_tasks_id_invalid_todo)
        1    0.000    0.000    0.030    0.030 test_categories_id_todos.py:140(test_post_category_id_todos)
        1    0.000    0.000    0.030    0.030 test_projects_id_categories.py:193(test_post_project_with_invalid_categories)
        1    0.000    0.000    0.030    0.030 test_todos_id_categories.py:54(test_get_todos_categories_xml)
        1    0.000    0.000    0.030    0.030 test_categories_id_todos_id.py:151(test_delete_category_id_todos_id_invalid_category)
        1    0.000    0.000    0.030    0.030 test_projects_id_tasks_id.py:80(test_post_project_id_tasks_id_not_allowed)
        1    0.000    0.000    0.029    0.029 test_projects.py:143(test_post_project_valid_body_with_todo_relation)
        1    0.000    0.000    0.029    0.029 test_categories_id_projects.py:18(test_get_categories_projects)
        1    0.000    0.000    0.029    0.029 test_todos_id.py:76(test_put_todo_valid_body)
        1    0.000    0.000    0.028    0.028 test_todos_id.py:108(test_put_todo_valid_body_xml)
        1    0.000    0.000    0.028    0.028 test_projects.py:80(test_get_non_empty_response_xml_projects)
        1    0.000    0.000    0.028    0.028 test_projects_id.py:205(test_project_valid_id_post_xml)
        1    0.000    0.000    0.028    0.028 test_todos_id_tasksof.py:17(test_get_todos_projects)
        1    0.000    0.000    0.027    0.027 test_todos_id_tasksof.py:174(test_post_todos_projects_invalid_body)
        1    0.000    0.000    0.027    0.027 test_todos_id_tasksof_id.py:176(test_delete_todo_project_relationship_does_not_exist)
        1    0.000    0.000    0.027    0.027 test_todos_id_categories_id.py:83(test_post_todo_category_not_allowed)
        1    0.000    0.000    0.027    0.027 test_todos_id_categories.py:17(test_get_todos_categories)
        1    0.000    0.000    0.027    0.027 test_categories.py:89(test_get_non_empty_response_xml_categories)
        1    0.000    0.000    0.026    0.026 test_todos_id_tasksof_id.py:17(test_get_todo_project_not_allowed)
        1    0.000    0.000    0.026    0.026 test_todos_id_categories_id.py:50(test_put_todo_category_not_allowed)
        1    0.000    0.000    0.026    0.026 test_projects_id_tasks.py:290(test_project_id_tasks_options_OK)
        1    0.000    0.000    0.026    0.026 test_todos_id_tasksof_id.py:52(test_put_todo_project_not_allowed)
        1    0.000    0.000    0.026    0.026 test_projects_id_tasks.py:222(test_post_project_id_tasks_invalid_todo_id)
        1    0.000    0.000    0.025    0.025 test_projects_id_categories.py:260(test_project_id_category_delete_not_allowed)
        1    0.000    0.000    0.025    0.025 test_todos_id_categories.py:251(test_delete_todos_categories_not_allowed)
        1    0.000    0.000    0.025    0.025 test_projects_id_categories.py:356(test_project_id_category_patch_not_allowed)
        1    0.000    0.000    0.025    0.025 test_todos_id_tasksof.py:256(test_delete_todos_projects_not_allowed)
        1    0.000    0.000    0.025    0.025 test_categories_id.py:435(test_head_category_ok)
        1    0.000    0.000    0.025    0.025 test_projects_id_categories.py:75(test_get_project_with_categories_xml)
        1    0.000    0.000    0.025    0.025 test_categories_id_projects_id.py:19(test_get_category_project_not_allowed)
        1    0.000    0.000    0.025    0.025 test_projects_id_tasks_id.py:47(test_put_project_id_tasks_id_not_allowed)
        1    0.000    0.000    0.025    0.025 test_projects_id_categories_id.py:46(test_put_project_id_categories_id_not_allowed)
        1    0.000    0.000    0.025    0.025 test_categories_id_todos.py:316(test_category_id_todos_head_OK)
        1    0.000    0.000    0.025    0.025 test_todos_id_tasksof_id.py:87(test_post_todo_project_not_allowed)
        1    0.000    0.000    0.024    0.024 test_projects_id_tasks_id.py:14(test_get_project_id_tasks_id_not_allowed)
        1    0.000    0.000    0.024    0.024 test_todos_id.py:209(test_post_todo_id_valid_body)
        1    0.000    0.000    0.024    0.024 test_todos_id.py:13(test_get_todo)
        1    0.000    0.000    0.024    0.024 test_projects.py:183(test_post_project_valid_body_with_category_relation)
        1    0.000    0.000    0.024    0.024 test_categories.py:49(test_get_non_empty_response_categories)
        1    0.000    0.000    0.024    0.024 test_todos_id_tasksof.py:59(test_get_todos_projects_xml)
        1    0.000    0.000    0.024    0.024 test_categories_id_projects.py:60(test_get_categories_projects_xml)
        1    0.000    0.000    0.024    0.024 test_projects_id_categories.py:324(test_project_id_category_head_OK)
        1    0.000    0.000    0.024    0.024 test_categories_id_todos_id.py:15(test_get_category_id_todos_id_not_allowed)
        1    0.000    0.000    0.024    0.024 test_projects_id_categories_id.py:74(test_post_project_id_categories_id_not_allowed)
        1    0.000    0.000    0.024    0.024 test_categories_id_todos.py:252(test_delete_category_id_todos)
        1    0.000    0.000    0.024    0.024 test_categories_id_todos.py:75(test_get_category_with_todos_xml)
        1    0.000    0.000    0.024    0.024 test_categories.py:149(test_post_category_valid_body_with_todo_relation)
        1    0.000    0.000    0.024    0.024 test_categories_id_todos.py:38(test_get_category_with_todos)
        1    0.000    0.000    0.024    0.024 test_projects_id.py:148(test_project_invalid_id_put)
        1    0.000    0.000    0.024    0.024 test_categories_id_todos.py:217(test_post_category_id_todos_invalid_todo_id)
        1    0.000    0.000    0.024    0.024 test_projects_id_tasks.py:354(test_project_id_tasks_patch_not_allowed)
        1    0.000    0.000    0.024    0.024 test_categories_id_todos.py:181(test_post_category_id_todos_invalid_category_id)
        1    0.000    0.000    0.024    0.024 test_categories_id_projects.py:171(test_post_categories_projects_invalid_body)
        1    0.000    0.000    0.023    0.023 test_categories_id_projects_id.py:178(test_delete_category_project_relationship_does_not_exist)
        1    0.000    0.000    0.023    0.023 test_categories_id_todos.py:348(test_category_id_todos_patch_not_allowed)
        1    0.000    0.000    0.023    0.023 test_categories_id_projects.py:259(test_delete_categories_projects_not_allowed)
        1    0.000    0.000    0.023    0.023 test_categories_id_projects_id.py:89(test_post_category_project_not_allowed)
        1    0.000    0.000    0.023    0.023 test_projects_id_tasks.py:258(test_delete_project_id_tasks)
        1    0.000    0.000    0.023    0.023 test_projects_id_tasks.py:187(test_post_project_id_tasks_invalid_project_id)
